input_path,is_color,out_boosted_path,fft_spectrum_path,mask_path,highboost_mask_path,max_imag_G_shifted,max_imag_out_float,used_real_output,D0,r,mask_type
data/FCC_China.jpg,True,results\batch_demo_20251127T132725\FCC_China\FCC_China_boosted.png,results\batch_demo_20251127T132725\FCC_China\fft_spectrum.png,results\batch_demo_20251127T132725\FCC_China\filter_mask.png,results\batch_demo_20251127T132725\FCC_China\highpass_mask.png,12987625.140885008,0.0,False,100.0,6.0,gaussian
data/Grand_Teton_National_Park.avif,True,results\batch_demo_20251127T132725\Grand_Teton_National_Park\Grand_Teton_National_Park_boosted.png,results\batch_demo_20251127T132725\Grand_Teton_National_Park\fft_spectrum.png,results\batch_demo_20251127T132725\Grand_Teton_National_Park\filter_mask.png,results\batch_demo_20251127T132725\Grand_Teton_National_Park\highpass_mask.png,201684830.56717515,0.0,False,100.0,6.0,gaussian
data/Sample_Grayscale_2.jpg,True,results\batch_demo_20251127T132725\Sample_Grayscale_2\Sample_Grayscale_2_boosted.png,results\batch_demo_20251127T132725\Sample_Grayscale_2\fft_spectrum.png,results\batch_demo_20251127T132725\Sample_Grayscale_2\filter_mask.png,results\batch_demo_20251127T132725\Sample_Grayscale_2\highpass_mask.png,254164611.09792325,0.0,False,100.0,6.0,gaussian
data/Satellite_Brisbane.jpg,True,results\batch_demo_20251127T132725\Satellite_Brisbane\Satellite_Brisbane_boosted.png,results\batch_demo_20251127T132725\Satellite_Brisbane\fft_spectrum.png,results\batch_demo_20251127T132725\Satellite_Brisbane\filter_mask.png,results\batch_demo_20251127T132725\Satellite_Brisbane\highpass_mask.png,10986472.179496832,0.0,False,100.0,6.0,gaussian
data/symmetric-architecture.jpg,True,results\batch_demo_20251127T132725\symmetric-architecture\symmetric-architecture_boosted.png,results\batch_demo_20251127T132725\symmetric-architecture\fft_spectrum.png,results\batch_demo_20251127T132725\symmetric-architecture\filter_mask.png,results\batch_demo_20251127T132725\symmetric-architecture\highpass_mask.png,6422083.057822626,0.0,False,100.0,6.0,gaussian
data/symmetric-tree.jpg,False,results\batch_demo_20251127T132725\symmetric-tree\symmetric-tree_boosted.png,results\batch_demo_20251127T132725\symmetric-tree\fft_spectrum.png,results\batch_demo_20251127T132725\symmetric-tree\filter_mask.png,results\batch_demo_20251127T132725\symmetric-tree\highpass_mask.png,280313969.1131503,0.0,False,100.0,6.0,gaussian
data/White_Noise.jpg,True,results\batch_demo_20251127T132725\White_Noise\White_Noise_boosted.png,results\batch_demo_20251127T132725\White_Noise\fft_spectrum.png,results\batch_demo_20251127T132725\White_Noise\filter_mask.png,results\batch_demo_20251127T132725\White_Noise\highpass_mask.png,5715838.318936196,0.0,False,100.0,6.0,gaussian
